ID	Elav_1	Elav_2	Elav_3	Elav_4	Elav_5	Repo_1	Repo_2	Repo_3	Repo_4	Repo_5
CG10000	34.53530357	38.31931855	36.00187151	49.1800058	48.84029469	42.81368175	47.17661495	42.22425314	129.7868134	56.49299176
CG10001	7.621103984	8.339726087	9.447941291	14.92852786	10.48314723	10.85283462	14.82540899	12.04197398	20.82146969	17.02992292
CG10002	448.8221293	448.8221293	652.5750412	310.8338904	410.1477773	286.0255073	294.0667789	321.7954239	354.5880238	372.2169644
CG10005	18.25221945	15.77972327	15.45498126	15.67072476	20.67764529	29.85705573	26.17286587	20.2521055	58.89200964	30.48441594
CG10006	23.42537114	20.39297004	20.82146969	30.90996253	23.75237713	33.8245773	34.53530357	31.34144952	69.5510312	54.19169999
CG10007	106.8912537	27.6651914	110.6607656	129.7868134	76.6386371	110.6607656	67.18186775	115.3600592	27.47409397	42.81368175
CG10009	123.6398501	467.8817025	797.8645296	337.7940252	203.6573398	155.4169452	192.6715837	140.0695938	53.07645093	61.81992505
CG10011	1278.290482	1618.004607	1418.352095	1652.002323	1448.154688	1351.176101	1305.150082	1305.150082	797.8645296	1152.059888
CG10013	8.876555777	9.781122222	7.835362381	9.986644391	12.46663327	10.33882265	11.08087574	10.70342044	21.55573723	14.6213032
CG10014	29.65081798	35.01739844	30.48441594	29.44600482	39.39662123	35.75318842	40.50421101	36.75834736	104.6914635	52.34573175
CG10016	35.26096371	53.44562684	37.53071838	39.94657756	116.9704256	25.99207668	75.58353033	38.8542363	96.33579183	25.45716748
CG10017	50.91433496	52.34573175	56.49299176	58.08122594	60.54768939	52.70982511	47.17661495	53.81737058	158.6825856	78.79324245
CG10018	22.31589866	16.79546694	26.90868529	17.02992292	14.92852786	14.72300241	16	14.82540899	19.56224444	15.56247916
CG10019	179.7689441	87.42657643	122.7858073	57.28160454	95.00950852	72.00374302	48.50293013	99.7330662	119.4282229	82.71058116
CG10021	5.314743256	5.169411323	5.617779503	4.75682846	4.890561111	4.28709385	6.773962499	5.540437872	10.92832205	4.789914818
CG10023	398.9322648	533.7424696	942.2721542	421.6786008	530.055641	207.9366135	634.7303424	265.0278205	70.52192742	176.0693527
CG10026	9.579829637	9.849155307	9.986644391	9.063071082	12.21007367	81.00842201	11.15794933	10.41073484	25.8125363	17.26765178
CG10029	7.568461174	11.3137085	9.126109727	8.111675838	9.579829637	9.713559075	10.19648502	11.00433455	22.31589866	12.12573253
CG10031	18.50701094	21.25897303	18.76535919	23.91758798	25.45716748	97.00586026	41.35529058	52.34573175	78.24897777	56.88593159
CG10032	14.52030649	18.89588258	12.64066099	18.25221945	13.73704698	13.64215827	16.44982123	13.45434264	35.26096371	16.67945217
CG10033	6.062866266	10.26740718	8.51496146	5.938094283	9.447941291	172.4458978	259.5736268	71.50637684	21.55573723	91.13921252
CG10034	38.05462768	28.8400148	29.04061297	20.2521055	26.72281342	52.34573175	34.2967508	24.5900029	95.00950852	30.90996253
CG10035	30.69645182	31.34144952	26.53822547	30.90996253	41.06962872	33.59093388	32.89964245	31.34144952	142.0248924	40.50421101
CG10036	128.8903104	195.3611787	87.42657643	82.71058116	86.22294892	120.2589119	128.8903104	205.0738887	168.8970126	119.4282229
CG10037	385.3431673	792.3532767	541.1932368	600.491494	461.4402369	526.3942792	1016.926715	935.763405	2048	404.5011517
CG10038	153.2772742	132.5139103	393.4400464	572.0510147	174.8531529	63.55791971	132.5139103	290.0182746	195.3611787	112.9859835
CG10039	44.94223602	51.26847217	45.254834	43.71328822	52.70982511	45.88656794	54.56863307	53.81737058	144.007486	60.12945595
CG1004	792.3532767	1016.926715	837.531708	1067.484939	1234.747216	526.3942792	781.444715	1176.267116	181.019336	2503.967289
CG10041	15.67072476	10.70342044	9.646462622	13.26911273	16.91228865	10.55606329	11.63178014	13.08643294	16.56423878	14.72300241
CG10042	359.5378882	337.7940252	240.5178238	183.5462717	235.5680386	415.8732269	245.5716145	245.5716145	54.56863307	200.8535291
CG10043	235.5680386	274.3740064	213.7825074	116.1624519	170.0717842	252.4755724	102.5369443	70.03479688	39.6706464	74.54294953
CG10045	526.3942792	474.4130877	494.5594004	347.2907078	600.491494	1795.288517	537.454942	1234.747216	1710.260059	1192.687193
CG10047	9216.479107	9541.49754	8023.411078	9475.589603	7750.104242	8480.890256	9216.479107	7804.01048	6208.375056	4904.872774
CG10050	65.79928491	51.98415337	65.79928491	119.4282229	49.8665331	5.897076869	13.17745628	6.543216468	17.3877578	6.964404506
CG10051	4.789914818	4.141059695	5.13370359	4.469148552	5.13370359	5.098242509	6.91629785	5.735820992	6.964404506	5.696200782
CG10052	59.71411146	44.63179732	61.39290364	64	60.54768939	65.34477605	79.3412928	89.88447205	95.67035191	104.6914635
CG10053	96.33579183	266.8712348	95.00950852	157.5864849	367.0925435	125.3657981	109.1372661	83.28587875	92.41146851	105.4196502
CG10055	1389.162831	1562.88943	1260.691879	1341.842846	1128.350839	661.6846493	781.444715	1009.902289	724.0773439	704.2774109
CG10059	28.64080227	25.10669113	24.25146506	28.4429658	17.75311155	23.91758798	29.85705573	25.28132198	36.00187151	22.78480313
CG10060	27.28431654	71.01244621	36.75834736	25.28132198	64.4451552	166.5717575	116.1624519	526.3942792	31.12495832	233.9408513
CG10061	27.85761803	60.12945595	41.93258892	46.52712055	76.10925536	19.56224444	17.63048185	15.13692235	38.31931855	30.06472797
CG10062	5.775716782	6.727171322	6.105036836	8.0556444	7.727490631	8.456144324	9.51365692	8.5741877	20.67764529	10.19648502
CG10063	14.92852786	18.00093576	12.46663327	13.92880901	11.95879399	23.10286713	25.45716748	17.26765178	51.26847217	23.75237713
CG10064	25.45716748	25.45716748	22.16175149	29.24260641	30.69645182	31.77895985	43.11147446	35.50622311	88.64700596	39.39662123
CG10066	44.94223602	24.5900029	39.94657756	26.35491255	33.8245773	50.21338227	63.55791971	34.7755156	78.79324245	46.52712055
CG10067	143.0127537	12.81711804	12.21007367	15.34822591	14.02569154	12.46663327	17.50869922	18.25221945	35.50622311	160.8977119
CG10068	292.0355113	328.5570298	163.1437603	261.3791042	227.5437264	418.765854	156.4979555	474.4130877	222.8609442	146.0177556
CG10069	396.1766383	596.3435963	302.3341213	491.1432291	337.7940252	240.5178238	484.3815151	229.1264182	26.90868529	224.4110647
CG1007	6888.623434	7181.154069	6382.916237	6746.857613	6251.55772	5042.767517	5480.151264	4576.408118	5077.842739	4039.609158
CG10071	2556.580964	3125.77886	2778.325663	2288.204059	2610.300165	2721.148547	2521.383759	2225.632998	3258.517437	3236.009213
CG10072	439.5855035	541.1932368	508.4633577	596.3435963	398.9322648	315.1729698	319.5726205	195.3611787	24.08394796	533.7424696
CG10073	11.15794933	11.63178014	11.79415374	11.00433455	12.29500145	11.47164198	14.2214829	13.08643294	12.46663327	15.24220797
CG10075	115.3600592	109.1372661	99.7330662	196.7200232	166.5717575	71.50637684	56.10276616	34.7755156	118.6032719	40.78594007
CG10076	3082.745339	3821.703133	2856.435029	3373.428807	3082.745339	1478.583496	2521.383759	2120.222564	1428.217514	1991.997332
CG10077	11425.74011	11036.53746	10226.32386	10297.45356	9877.977724	10369.07802	9541.49754	10586.95439	6984.785033	9026.806709
CG10078	147.0333894	75.06143675	206.5002904	178.5271893	560.278375	739.2917481	170.0717842	137.1870032	63.55791971	71.01244621
CG10079	9.18958684	8.633825892	10.92832205	8.456144324	9.51365692	14.92852786	11.15794933	34.05984584	13.08643294	12.72858374
CG10080	916.5056726	803.4141162	797.8645296	929.299615	584.0710225	306.5545484	248.9996665	596.3435963	263.1971396	533.7424696
